# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Oasis|Green spot with water in the middle of the desert.|بقعة خضراء بماء وسط الصحراء.
Strait|Narrow water passage between two lands.|ممر مائي ضيق بين يابستين.
Archipelago|A group of many islands together.|مجموعة جزر كثيرة متقاربة.
Longitude|Imaginary lines from pole to pole on maps.|خطوط وهمية من القطب إلى القطب على الخرائط.
Constellation|Group of stars forming a shape in the sky.|مجموعة نجوم ترسم شكلا في السماء.
Nebula|Colorful cloud of gas in space where stars are born.|سحابة غاز ملونة في الفضاء تولد فيها النجوم.
Asteroid|Big rock floating in space around the sun.|صخرة كبيرة تسبح في الفضاء حول الشمس.
Meteor|Space rock burning as it falls, a shooting star.|صخرة فضائية تحترق أثناء سقوطها، الشهاب.
Black hole|Invisible space monster that swallows even light.|جسم فضائي يبتلع كل شيء حتى الضوء.
Spacecraft|Vehicle that travels beyond the sky to space.|مركبة تسافر خارج الغلاف الجوي إلى الفضاء.
Observatory|Building with a giant telescope to watch stars.|مبنى فيه مقراب ضخم لمراقبة النجوم.
Supernova|Giant explosion of a dying star.|انفجار هائل لنجم يموت.
Constitution|The highest law of a country.|القانون الأعلى للدولة.
Empire|Many countries ruled by one powerful ruler.|دول كثيرة يحكمها حاكم واحد قوي.
Revolution|When the people rise to change the ruler.|عندما ينتفض الشعب لتغيير الحكم.
Civilization|The culture and achievements of a great nation.|ثقافة وإنجازات أمة عظيمة عبر التاريخ.
Archaeologist|Scientist who digs up ancient remains.|عالم ينقب عن الآثار القديمة.
Manuscript|Old book written by hand before printing.|كتاب قديم مكتوب باليد قبل الطباعة.
Dynasty|Family of rulers passing power father to son.|عائلة حاكمة تتوارث الحكم أبا عن جد.
Treaty|Written agreement between countries.|اتفاق مكتوب بين الدول.
Monument|Big structure built to remember someone or something.|بناء كبير يخلد ذكرى شخص أو حدث.
Hieroglyphics|Ancient Egyptian picture writing.|كتابة المصريين القدماء بالصور.
Architect|Designs buildings before they are built.|يصمم المباني قبل بنائها.
Surgeon|Doctor who operates inside the body.|طبيب يجري العمليات داخل الجسم.
Ambassador|Represents his country in another country.|يمثل بلاده في دولة أخرى.
Translator|Changes words from one language to another.|ينقل الكلام من لغة إلى أخرى.
Astronomer|Scientist who studies stars and planets.|عالم يدرس النجوم والكواكب.
Geologist|Scientist who studies rocks and the Earth.|عالم يدرس الصخور والأرض.
Pharmacist|Prepares and sells medicine at the pharmacy.|يحضر ويبيع الدواء في الصيدلية.
Accountant|Works with numbers and company money.|يعمل بالأرقام وأموال الشركات.
Orchestra|Big group of musicians playing together.|فرقة كبيرة من العازفين يعزفون معا.
Symphony|Long musical piece played by many instruments.|مقطوعة موسيقية طويلة تعزفها آلات كثيرة.
Conductor|Leads the musicians with a small stick.|يقود العازفين بعصا صغيرة.
Melody|The tune of a song you can hum.|النغمة التي يمكن دندنتها من الأغنية.
Rhythm|The regular beat of the music.|النبض المنتظم للموسيقى.
Harp|Tall instrument with many strings you pluck.|آلة طويلة بأوتار كثيرة تعزف بالنقر.
Pilgrimage|The holy journey to Mecca once in a lifetime.|الرحلة المقدسة إلى مكة مرة في العمر.
Scripture|Holy book of a religion.|الكتاب المقدس لدين من الأديان.
Monastery|Quiet building where monks live and pray.|مبنى هادئ يعيش فيه الرهبان ويتعبدون.
Sermon|Religious speech given on Friday or Sunday.|خطاب ديني يلقى يوم الجمعة أو الأحد.
Parliament|Where elected people make the laws.|حيث يسن المنتخبون القوانين.
Embassy|Building representing a foreign country.|مبنى يمثل دولة أجنبية في بلد آخر.
Courthouse|Where the judge decides who is right.|حيث يقرر القاضي من على حق.
Skyscraper|Extremely tall building touching the clouds.|مبنى شاهق يلامس الغيوم.
Cathedral|Very big and grand church.|كنيسة كبيرة وفخمة جدا.
Metropolis|Huge busy city with millions of people.|مدينة ضخمة مزدحمة بملايين الناس.
Suburb|Quiet neighborhoods at the edge of the city.|أحياء هادئة على أطراف المدينة.
Intersection|Where two roads cross each other.|حيث يتقاطع طريقان.
Warehouse|Huge building for storing goods.|مبنى ضخم لتخزين البضائع.
Ecosystem|Animals, plants and nature living together in balance.|الحيوانات والنباتات والطبيعة تعيش معا بتوازن.
Avalanche|Huge mass of snow sliding down a mountain.|كتلة ثلج ضخمة تنهار من الجبل.
Drought|Long time without rain, land dries up.|فترة طويلة بلا مطر تجف فيها الأرض.
Hurricane|Giant spinning storm from the ocean.|عاصفة دوارة هائلة قادمة من المحيط.
Tsunami|Giant sea wave caused by an earthquake.|موجة بحرية عملاقة يسببها زلزال.
Earthquake|When the ground shakes and buildings fall.|عندما تهتز الأرض وتتصدع المباني.
Tornado|Spinning column of wind destroying everything in its path.|عمود ريح دوار يدمر ما في طريقه.
Humidity|The amount of water vapor in the air.|كمية بخار الماء في الهواء.
Erosion|When wind and water slowly eat away the land.|عندما تأكل الرياح والمياه الأرض ببطء.
Magma|Melted rock deep inside the Earth.|صخور منصهرة في أعماق الأرض.
Coral reef|Colorful underwater garden where fish live.|حديقة ملونة تحت الماء تعيش فيها الأسماك.
Horizon|The line where the sky meets the earth.|الخط الذي تلتقي فيه السماء بالأرض.
Delta|Where the river splits before meeting the sea.|حيث يتفرع النهر قبل لقاء البحر.
Aqueduct|Ancient bridge built to carry water.|جسر قديم بني لنقل الماء.
Photosynthesis|How plants make food from sunlight.|طريقة صنع النبات لغذائه من ضوء الشمس.
Chromosome|Thread in the cell carrying your genes.|خيط في الخلية يحمل الجينات.
Enzyme|Body helper that speeds up digestion.|مساعد في الجسم يسرع الهضم.
Protein|Building material of the body, found in meat and eggs.|مادة بناء الجسم وتوجد في اللحم والبيض.
Neutron|Particle in the atom's center with no charge.|جسيم في مركز الذرة بلا شحنة.
Proton|Positive particle in the atom's center.|جسيم موجب في مركز الذرة.
Electron|Tiny negative particle spinning around the atom.|جسيم سالب دقيق يدور حول الذرة.
Nucleus|The center of the atom or the cell.|مركز الذرة أو الخلية.
Membrane|Thin layer covering and protecting the cell.|طبقة رقيقة تغطي الخلية وتحميها.
Microbe|Living thing too small to see.|كائن حي لا يرى بالعين المجردة.
Virus|Tiny thing that spreads sickness like flu.|كائن دقيق ينشر الأمراض كالإنفلونزا.
Antibody|The body's soldier fighting germs.|جندي الجسم الذي يحارب الجراثيم.
Catalyst|Substance that speeds up a chemical reaction.|مادة تسرع التفاعل الكيميائي.
Density|How heavy something is for its size.|مدى ثقل الشيء مقارنة بحجمه.
Friction|The rubbing force that slows moving things.|قوة الاحتكاك التي تبطئ الأجسام المتحركة.
Momentum|The push a moving object carries.|الدفع الذي يحمله الجسم المتحرك.
Velocity|Speed in a specific direction.|السرعة في اتجاه محدد.
Frequency|How many times something repeats per second.|عدد تكرار الشيء في الثانية.
Wavelength|The distance between two wave tops.|المسافة بين قمتي موجتين.
Vacuum|Space completely empty of air.|فضاء خالٍ تماما من الهواء.
Condensation|When vapor turns back into water drops.|تحول البخار إلى قطرات ماء.
Combustion|Burning that produces heat and flame.|الاحتراق الذي ينتج حرارة ولهبا.
Alloy|Mix of two metals, stronger than each alone.|خليط من معدنين أقوى من كل منهما.
Acid|Sour chemical that can burn, like in lemons.|مادة كيميائية حارقة حامضة كما في الليمون.
Crystal|Clear stone with perfect geometric shapes.|حجر شفاف بأشكال هندسية متقنة.
Laser|Very strong focused beam of light.|شعاع ضوء مركز وقوي جدا.
Pollen|Yellow powder flowers exchange to make seeds.|غبار أصفر تتبادله الأزهار لتكوين البذور.
Chlorophyll|The green substance in plant leaves.|المادة الخضراء في أوراق النبات.
Gene|Tiny code deciding your eye and hair color.|شيفرة دقيقة تحدد لون عينيك وشعرك.
Specimen|A sample studied in the lab.|عينة تدرس في المختبر.
Server|Powerful computer serving websites to everyone.|حاسوب قوي يقدم المواقع للجميع.
Database|Organized storage of huge amounts of information.|مخزن منظم لكميات هائلة من المعلومات.
Network|Computers connected to each other.|حواسيب متصلة ببعضها البعض.
Firewall|Digital wall protecting computers from hackers.|جدار رقمي يحمي الحاسوب من المخترقين.
Password|Secret word that opens your account.|كلمة سرية تفتح حسابك.
